Temperature,H0,Q_OrderParameter
2.0000,0.8000,0.0125
1.9000,0.8000,0.0105
1.8000,0.8000,0.0143
1.7000,0.8000,0.0133
1.6000,0.8000,0.0105
1.5000,0.8000,0.0103
1.4000,0.8000,0.0098
1.3000,0.8000,0.0085
1.2000,0.8000,0.0147
1.1000,0.8000,0.0139
1.0000,0.8000,0.0197
0.9000,0.8000,0.0227
0.8000,0.8000,0.0310
0.7000,0.8000,0.1027
0.6000,0.8000,0.5726
3.0000,0.9000,0.0072
2.9000,0.9000,0.0060
2.8000,0.9000,0.0085
2.7000,0.9000,0.0074
2.6000,0.9000,0.0055
2.5000,0.9000,0.0085
2.4000,0.9000,0.0083
2.3000,0.9000,0.0093
2.2000,0.9000,0.0077
2.1000,0.9000,0.0077
2.0000,0.9000,0.0100
1.9000,0.9000,0.0110
1.8000,0.9000,0.0104
1.7000,0.9000,0.0095
1.6000,0.9000,0.0105
1.5000,0.9000,0.0072
1.4000,0.9000,0.0114
1.3000,0.9000,0.0087
1.2000,0.9000,0.0072
1.1000,0.9000,0.0127
1.0000,0.9000,0.0179
0.9000,0.9000,0.0180
0.8000,0.9000,0.0328
0.7000,0.9000,0.0481
0.6000,0.9000,0.3711
3.0000,1.0000,0.0055
2.9000,1.0000,0.0059
2.8000,1.0000,0.0050
2.7000,1.0000,0.0058
2.6000,1.0000,0.0057
2.5000,1.0000,0.0078
2.4000,1.0000,0.0078
2.3000,1.0000,0.0082
2.2000,1.0000,0.0071
2.1000,1.0000,0.0071
2.0000,1.0000,0.0089
1.9000,1.0000,0.0081
1.8000,1.0000,0.0120
1.7000,1.0000,0.0088
1.6000,1.0000,0.0072
1.5000,1.0000,0.0091
1.4000,1.0000,0.0091
1.3000,1.0000,0.0093
1.2000,1.0000,0.0072
1.1000,1.0000,0.0149
1.0000,1.0000,0.0165
0.9000,1.0000,0.0192
0.8000,1.0000,0.0434
0.7000,1.0000,0.0716
0.6000,1.0000,0.3893
3.0000,1.1000,0.0045
2.9000,1.1000,0.0059
2.8000,1.1000,0.0080
2.7000,1.1000,0.0074
2.6000,1.1000,0.0056
2.5000,1.1000,0.0060
2.4000,1.1000,0.0092
2.3000,1.1000,0.0083
2.2000,1.1000,0.0104
2.1000,1.1000,0.0090
2.0000,1.1000,0.0106
1.9000,1.1000,0.0107
1.8000,1.1000,0.0096
1.7000,1.1000,0.0087
1.6000,1.1000,0.0061
1.5000,1.1000,0.0073
1.4000,1.1000,0.0069
1.3000,1.1000,0.0096
1.2000,1.1000,0.0093
1.1000,1.1000,0.0102
1.0000,1.1000,0.0120
0.9000,1.1000,0.0144
0.8000,1.1000,0.0156
0.7000,1.1000,0.0164
0.6000,1.1000,0.0210
3.0000,1.2000,0.0064
2.9000,1.2000,0.0063
2.8000,1.2000,0.0062
2.7000,1.2000,0.0058
2.6000,1.2000,0.0073
2.5000,1.2000,0.0059
2.4000,1.2000,0.0087
2.3000,1.2000,0.0073
2.2000,1.2000,0.0072
2.1000,1.2000,0.0096
2.0000,1.2000,0.0083
1.9000,1.2000,0.0094
1.8000,1.2000,0.0072
1.7000,1.2000,0.0056
1.6000,1.2000,0.0079
1.5000,1.2000,0.0046
1.4000,1.2000,0.0054
1.3000,1.2000,0.0067
1.2000,1.2000,0.0088
1.1000,1.2000,0.0124
1.0000,1.2000,0.0139
0.9000,1.2000,0.0151
0.8000,1.2000,0.0138
0.7000,1.2000,0.0176
0.6000,1.2000,0.0120
3.0000,1.3000,0.0068
2.9000,1.3000,0.0070
2.8000,1.3000,0.0046
