Temperature,H0,Q_OrderParameter
3.0000,0.1000,0.0050
2.9000,0.1000,0.0048
2.8000,0.1000,0.0045
2.7000,0.1000,0.0059
2.6000,0.1000,0.0088
2.5000,0.1000,0.0081
2.4000,0.1000,0.0068
2.3000,0.1000,0.0113
2.2000,0.1000,0.0081
2.1000,0.1000,0.0131
2.0000,0.1000,0.0108
1.9000,0.1000,0.0087
1.8000,0.1000,0.0113
1.7000,0.1000,0.0088
1.6000,0.1000,0.0152
1.5000,0.1000,0.0191
1.4000,0.1000,0.0160
1.3000,0.1000,0.0213
1.2000,0.1000,0.0481
1.1000,0.1000,0.0454
1.0000,0.1000,0.1001
0.9000,0.1000,0.1348
0.8000,0.1000,0.3275
0.7000,0.1000,0.4443
0.6000,0.1000,0.6111
3.0000,0.2000,0.0061
2.9000,0.2000,0.0060
2.8000,0.2000,0.0045
2.7000,0.2000,0.0057
2.6000,0.2000,0.0052
2.5000,0.2000,0.0054
2.4000,0.2000,0.0067
2.3000,0.2000,0.0084
2.2000,0.2000,0.0131
2.1000,0.2000,0.0101
2.0000,0.2000,0.0137
1.9000,0.2000,0.0104
1.8000,0.2000,0.0129
1.7000,0.2000,0.0115
1.6000,0.2000,0.0157
1.5000,0.2000,0.0150
1.4000,0.2000,0.0153
1.3000,0.2000,0.0183
1.2000,0.2000,0.0276
1.1000,0.2000,0.0647
1.0000,0.2000,0.0922
0.9000,0.2000,0.1993
0.8000,0.2000,0.3910
0.7000,0.2000,0.5302
0.6000,0.2000,0.6164
3.0000,0.3000,0.0040
2.9000,0.3000,0.0056
2.8000,0.3000,0.0070
2.7000,0.3000,0.0043
2.6000,0.3000,0.0061
2.5000,0.3000,0.0086
2.4000,0.3000,0.0071
2.3000,0.3000,0.0081
2.2000,0.3000,0.0095
2.1000,0.3000,0.0131
2.0000,0.3000,0.0084
1.9000,0.3000,0.0115
1.8000,0.3000,0.0166
1.7000,0.3000,0.0124
1.6000,0.3000,0.0125
1.5000,0.3000,0.0215
1.4000,0.3000,0.0206
1.3000,0.3000,0.0205
1.2000,0.3000,0.0340
1.1000,0.3000,0.0486
1.0000,0.3000,0.0949
0.9000,0.3000,0.1493
0.8000,0.3000,0.2928
0.7000,0.3000,0.5233
0.6000,0.3000,0.3799
3.0000,0.4000,0.0067
2.9000,0.4000,0.0055
2.8000,0.4000,0.0057
2.7000,0.4000,0.0060
2.6000,0.4000,0.0072
2.5000,0.4000,0.0069
2.4000,0.4000,0.0084
2.3000,0.4000,0.0107
2.2000,0.4000,0.0094
2.1000,0.4000,0.0091
2.0000,0.4000,0.0087
1.9000,0.4000,0.0136
1.8000,0.4000,0.0119
1.7000,0.4000,0.0187
1.6000,0.4000,0.0124
1.5000,0.4000,0.0120
1.4000,0.4000,0.0201
1.3000,0.4000,0.0239
1.2000,0.4000,0.0487
1.1000,0.4000,0.0416
1.0000,0.4000,0.1234
0.9000,0.4000,0.1393
0.8000,0.4000,0.2186
0.7000,0.4000,0.5048
0.6000,0.4000,0.5883
3.0000,0.5000,0.0053
2.9000,0.5000,0.0055
2.8000,0.5000,0.0069
2.7000,0.5000,0.0060
2.6000,0.5000,0.0046
2.5000,0.5000,0.0081
2.4000,0.5000,0.0088
2.3000,0.5000,0.0058
2.2000,0.5000,0.0125
2.1000,0.5000,0.0080
2.0000,0.5000,0.0109
1.9000,0.5000,0.0086
1.8000,0.5000,0.0092
1.7000,0.5000,0.0127
1.6000,0.5000,0.0137
1.5000,0.5000,0.0165
1.4000,0.5000,0.0229
1.3000,0.5000,0.0253
1.2000,0.5000,0.0294
1.1000,0.5000,0.0528
1.0000,0.5000,0.0971
0.9000,0.5000,0.2154
0.8000,0.5000,0.2187
0.7000,0.5000,0.2702
0.6000,0.5000,0.6209
3.0000,0.6000,0.0053
2.9000,0.6000,0.0057
2.8000,0.6000,0.0047
2.7000,0.6000,0.0067
2.6000,0.6000,0.0063
2.5000,0.6000,0.0057
2.4000,0.6000,0.0060
2.3000,0.6000,0.0053
2.2000,0.6000,0.0077
2.1000,0.6000,0.0078
2.0000,0.6000,0.0069
1.9000,0.6000,0.0088
1.8000,0.6000,0.0087
1.7000,0.6000,0.0073
1.6000,0.6000,0.0093
1.5000,0.6000,0.0126
1.4000,0.6000,0.0116
1.3000,0.6000,0.0127
1.2000,0.6000,0.0121
1.1000,0.6000,0.0132
1.0000,0.6000,0.0060
0.9000,0.6000,0.0086
0.8000,0.6000,0.0084
0.7000,0.6000,0.0093
0.6000,0.6000,0.0086
3.0000,0.7000,0.0045
2.9000,0.7000,0.0044
2.8000,0.7000,0.0047
2.7000,0.7000,0.0064
2.6000,0.7000,0.0042
2.5000,0.7000,0.0064
2.4000,0.7000,0.0056
2.3000,0.7000,0.0077
2.2000,0.7000,0.0070
2.1000,0.7000,0.0083
2.0000,0.7000,0.0061
1.9000,0.7000,0.0067
1.8000,0.7000,0.0063
1.7000,0.7000,0.0077
1.6000,0.7000,0.0081
1.5000,0.7000,0.0088
1.4000,0.7000,0.0116
1.3000,0.7000,0.0119
1.2000,0.7000,0.0122
1.1000,0.7000,0.0090
1.0000,0.7000,0.0083
0.9000,0.7000,0.0070
0.8000,0.7000,0.0061
0.7000,0.7000,0.0057
0.6000,0.7000,0.0069
3.0000,0.8000,0.0044
2.9000,0.8000,0.0065
2.8000,0.8000,0.0032
2.7000,0.8000,0.0058
2.6000,0.8000,0.0042
2.5000,0.8000,0.0067
2.4000,0.8000,0.0040
2.3000,0.8000,0.0047
2.2000,0.8000,0.0060
