Temperature,H0,Q_OrderParameter
2.0000,0.8000,0.0074
1.9000,0.8000,0.0069
1.8000,0.8000,0.0114
1.7000,0.8000,0.0095
1.6000,0.8000,0.0089
1.5000,0.8000,0.0105
1.4000,0.8000,0.0101
1.3000,0.8000,0.0117
1.2000,0.8000,0.0102
1.1000,0.8000,0.0077
1.0000,0.8000,0.0082
0.9000,0.8000,0.0090
0.8000,0.8000,0.0088
0.7000,0.8000,0.0129
0.6000,0.8000,0.0132
3.0000,0.9000,0.0045
2.9000,0.9000,0.0056
2.8000,0.9000,0.0049
2.7000,0.9000,0.0059
2.6000,0.9000,0.0071
2.5000,0.9000,0.0051
2.4000,0.9000,0.0056
2.3000,0.9000,0.0068
2.2000,0.9000,0.0062
2.1000,0.9000,0.0113
2.0000,0.9000,0.0080
1.9000,0.9000,0.0111
1.8000,0.9000,0.0075
1.7000,0.9000,0.0116
1.6000,0.9000,0.0104
1.5000,0.9000,0.0091
1.4000,0.9000,0.0057
1.3000,0.9000,0.0079
1.2000,0.9000,0.0066
1.1000,0.9000,0.0081
1.0000,0.9000,0.0090
0.9000,0.9000,0.0071
0.8000,0.9000,0.0102
0.7000,0.9000,0.0139
0.6000,0.9000,0.0178
3.0000,1.0000,0.0044
2.9000,1.0000,0.0063
2.8000,1.0000,0.0049
2.7000,1.0000,0.0053
2.6000,1.0000,0.0062
2.5000,1.0000,0.0066
2.4000,1.0000,0.0053
2.3000,1.0000,0.0086
2.2000,1.0000,0.0057
2.1000,1.0000,0.0070
2.0000,1.0000,0.0063
1.9000,1.0000,0.0075
1.8000,1.0000,0.0083
1.7000,1.0000,0.0095
1.6000,1.0000,0.0063
1.5000,1.0000,0.0074
1.4000,1.0000,0.0069
1.3000,1.0000,0.0071
1.2000,1.0000,0.0067
1.1000,1.0000,0.0088
1.0000,1.0000,0.0094
0.9000,1.0000,0.0078
0.8000,1.0000,0.0104
0.7000,1.0000,0.0160
0.6000,1.0000,0.0155
3.0000,1.1000,0.0051
2.9000,1.1000,0.0063
2.8000,1.1000,0.0048
2.7000,1.1000,0.0062
2.6000,1.1000,0.0046
2.5000,1.1000,0.0069
2.4000,1.1000,0.0052
2.3000,1.1000,0.0060
2.2000,1.1000,0.0050
2.1000,1.1000,0.0069
2.0000,1.1000,0.0066
1.9000,1.1000,0.0093
1.8000,1.1000,0.0080
1.7000,1.1000,0.0068
1.6000,1.1000,0.0046
1.5000,1.1000,0.0087
1.4000,1.1000,0.0076
1.3000,1.1000,0.0069
1.2000,1.1000,0.0076
1.1000,1.1000,0.0066
1.0000,1.1000,0.0081
0.9000,1.1000,0.0064
0.8000,1.1000,0.0119
0.7000,1.1000,0.0119
0.6000,1.1000,0.0122
3.0000,1.2000,0.0051
2.9000,1.2000,0.0038
2.8000,1.2000,0.0040
2.7000,1.2000,0.0044
2.6000,1.2000,0.0046
2.5000,1.2000,0.0051
2.4000,1.2000,0.0036
2.3000,1.2000,0.0058
2.2000,1.2000,0.0083
2.1000,1.2000,0.0057
2.0000,1.2000,0.0075
1.9000,1.2000,0.0064
1.8000,1.2000,0.0064
1.7000,1.2000,0.0058
1.6000,1.2000,0.0061
1.5000,1.2000,0.0066
1.4000,1.2000,0.0049
1.3000,1.2000,0.0069
1.2000,1.2000,0.0044
1.1000,1.2000,0.0062
1.0000,1.2000,0.0058
0.9000,1.2000,0.0075
0.8000,1.2000,0.0106
0.7000,1.2000,0.0126
0.6000,1.2000,0.0140
3.0000,1.3000,0.0035
2.9000,1.3000,0.0048
2.8000,1.3000,0.0057
2.7000,1.3000,0.0045
2.6000,1.3000,0.0049
2.5000,1.3000,0.0057
2.4000,1.3000,0.0049
2.3000,1.3000,0.0051
2.2000,1.3000,0.0054
2.1000,1.3000,0.0051
2.0000,1.3000,0.0089
1.9000,1.3000,0.0062
1.8000,1.3000,0.0070
1.7000,1.3000,0.0064
1.6000,1.3000,0.0069
1.5000,1.3000,0.0036
1.4000,1.3000,0.0052
1.3000,1.3000,0.0051
1.2000,1.3000,0.0060
1.1000,1.3000,0.0077
1.0000,1.3000,0.0076
0.9000,1.3000,0.0076
0.8000,1.3000,0.0099
0.7000,1.3000,0.0107
0.6000,1.3000,0.0080
3.0000,1.4000,0.0051
2.9000,1.4000,0.0048
2.8000,1.4000,0.0057
