Temperature,H0,Q_OrderParameter
3.0000,0.1000,0.0184
2.9000,0.1000,0.0186
2.8000,0.1000,0.0214
2.7000,0.1000,0.0216
2.6000,0.1000,0.0230
2.5000,0.1000,0.0203
2.4000,0.1000,0.0291
2.3000,0.1000,0.0278
2.2000,0.1000,0.0416
2.1000,0.1000,0.0561
2.0000,0.1000,0.1002
1.9000,0.1000,0.2642
1.8000,0.1000,0.5841
1.7000,0.1000,0.8851
1.6000,0.1000,0.9521
1.5000,0.1000,0.9704
1.4000,0.1000,0.9820
1.3000,0.1000,0.9895
1.2000,0.1000,0.9941
1.1000,0.1000,0.9970
1.0000,0.1000,0.9985
0.9000,0.1000,0.9994
0.8000,0.1000,0.9998
0.7000,0.1000,0.9999
0.6000,0.1000,1.0000
3.0000,0.2000,0.0146
2.9000,0.2000,0.0145
2.8000,0.2000,0.0243
2.7000,0.2000,0.0195
2.6000,0.2000,0.0197
2.5000,0.2000,0.0263
2.4000,0.2000,0.0343
2.3000,0.2000,0.0306
2.2000,0.2000,0.0554
2.1000,0.2000,0.0481
2.0000,0.2000,0.0931
1.9000,0.2000,0.1395
1.8000,0.2000,0.6184
1.7000,0.2000,0.8850
1.6000,0.2000,0.9521
1.5000,0.2000,0.9712
1.4000,0.2000,0.9827
1.3000,0.2000,0.9898
1.2000,0.2000,0.9940
1.1000,0.2000,0.9968
1.0000,0.2000,0.9985
0.9000,0.2000,0.9993
0.8000,0.2000,0.9998
0.7000,0.2000,1.0000
0.6000,0.2000,1.0000
3.0000,0.3000,0.0128
2.9000,0.3000,0.0221
2.8000,0.3000,0.0162
2.7000,0.3000,0.0215
2.6000,0.3000,0.0221
2.5000,0.3000,0.0237
2.4000,0.3000,0.0243
2.3000,0.3000,0.0270
2.2000,0.3000,0.0364
2.1000,0.3000,0.0439
2.0000,0.3000,0.0835
1.9000,0.3000,0.1766
1.8000,0.3000,0.6494
1.7000,0.3000,0.8964
1.6000,0.3000,0.9516
1.5000,0.3000,0.9701
1.4000,0.3000,0.9823
1.3000,0.3000,0.9895
1.2000,0.3000,0.9942
1.1000,0.3000,0.9968
1.0000,0.3000,0.9986
0.9000,0.3000,0.9994
0.8000,0.3000,0.9998
0.7000,0.3000,0.9999
0.6000,0.3000,1.0000
3.0000,0.4000,0.0161
2.9000,0.4000,0.0138
2.8000,0.4000,0.0210
2.7000,0.4000,0.0243
2.6000,0.4000,0.0251
2.5000,0.4000,0.0134
2.4000,0.4000,0.0304
2.3000,0.4000,0.0230
2.2000,0.4000,0.0427
2.1000,0.4000,0.0397
2.0000,0.4000,0.0600
1.9000,0.4000,0.2417
1.8000,0.4000,0.6200
1.7000,0.4000,0.9028
1.6000,0.4000,0.9532
1.5000,0.4000,0.9713
1.4000,0.4000,0.9817
1.3000,0.4000,0.9897
1.2000,0.4000,0.9942
1.1000,0.4000,0.9969
1.0000,0.4000,0.9985
0.9000,0.4000,0.9994
0.8000,0.4000,0.9998
0.7000,0.4000,0.9999
0.6000,0.4000,1.0000
3.0000,0.5000,0.0159
2.9000,0.5000,0.0159
2.8000,0.5000,0.0187
2.7000,0.5000,0.0148
2.6000,0.5000,0.0235
2.5000,0.5000,0.0275
2.4000,0.5000,0.0204
2.3000,0.5000,0.0223
2.2000,0.5000,0.0451
2.1000,0.5000,0.0461
2.0000,0.5000,0.0860
1.9000,0.5000,0.1971
1.8000,0.5000,0.5451
1.7000,0.5000,0.8578
1.6000,0.5000,0.9491
1.5000,0.5000,0.9713
1.4000,0.5000,0.9831
1.3000,0.5000,0.9899
1.2000,0.5000,0.9942
1.1000,0.5000,0.9969
1.0000,0.5000,0.9985
0.9000,0.5000,0.9994
0.8000,0.5000,0.9998
0.7000,0.5000,0.9999
0.6000,0.5000,1.0000
3.0000,0.6000,0.0128
2.9000,0.6000,0.0126
2.8000,0.6000,0.0175
2.7000,0.6000,0.0167
2.6000,0.6000,0.0187
2.5000,0.6000,0.0207
2.4000,0.6000,0.0173
2.3000,0.6000,0.0169
2.2000,0.6000,0.0171
2.1000,0.6000,0.0196
2.0000,0.6000,0.0170
1.9000,0.6000,0.0197
1.8000,0.6000,0.0198
1.7000,0.6000,0.0111
1.6000,0.6000,0.0125
1.5000,0.6000,0.0148
1.4000,0.6000,0.0228
1.3000,0.6000,0.0616
1.2000,0.6000,0.1984
1.1000,0.6000,0.5837
1.0000,0.6000,0.9309
0.9000,0.6000,0.9855
0.8000,0.6000,0.9995
0.7000,0.6000,0.9998
0.6000,0.6000,1.0000
3.0000,0.7000,0.0096
2.9000,0.7000,0.0161
2.8000,0.7000,0.0113
2.7000,0.7000,0.0128
2.6000,0.7000,0.0138
2.5000,0.7000,0.0151
2.4000,0.7000,0.0116
2.3000,0.7000,0.0172
2.2000,0.7000,0.0169
2.1000,0.7000,0.0153
2.0000,0.7000,0.0116
1.9000,0.7000,0.0114
1.8000,0.7000,0.0180
1.7000,0.7000,0.0109
1.6000,0.7000,0.0184
1.5000,0.7000,0.0128
1.4000,0.7000,0.0208
1.3000,0.7000,0.0296
1.2000,0.7000,0.0716
1.1000,0.7000,0.3370
1.0000,0.7000,0.7664
0.9000,0.7000,0.9652
0.8000,0.7000,0.9942
0.7000,0.7000,0.9998
0.6000,0.7000,0.9999
3.0000,0.8000,0.0060
2.9000,0.8000,0.0110
2.8000,0.8000,0.0096
2.7000,0.8000,0.0117
2.6000,0.8000,0.0087
2.5000,0.8000,0.0172
2.4000,0.8000,0.0122
2.3000,0.8000,0.0123
2.2000,0.8000,0.0138
2.1000,0.8000,0.0155
2.0000,0.8000,0.0180
1.9000,0.8000,0.0088
1.8000,0.8000,0.0106
1.7000,0.8000,0.0131
1.6000,0.8000,0.0114
1.5000,0.8000,0.0187
1.4000,0.8000,0.0263
1.3000,0.8000,0.0345
1.2000,0.8000,0.0387
1.1000,0.8000,0.2880
1.0000,0.8000,0.7177
0.9000,0.8000,0.9297
0.8000,0.8000,0.9987
0.7000,0.8000,0.9998
0.6000,0.8000,0.9999
3.0000,0.9000,0.0100
2.9000,0.9000,0.0074
2.8000,0.9000,0.0103
2.7000,0.9000,0.0103
2.6000,0.9000,0.0138
2.5000,0.9000,0.0100
2.4000,0.9000,0.0133
2.3000,0.9000,0.0105
2.2000,0.9000,0.0080
2.1000,0.9000,0.0123
2.0000,0.9000,0.0115
1.9000,0.9000,0.0110
1.8000,0.9000,0.0096
1.7000,0.9000,0.0081
1.6000,0.9000,0.0128
1.5000,0.9000,0.0154
1.4000,0.9000,0.0208
1.3000,0.9000,0.0331
1.2000,0.9000,0.0630
1.1000,0.9000,0.1545
1.0000,0.9000,0.5718
0.9000,0.9000,0.8734
0.8000,0.9000,0.9767
0.7000,0.9000,0.9998
0.6000,0.9000,1.0000
3.0000,1.0000,0.0069
2.9000,1.0000,0.0088
2.8000,1.0000,0.0094
2.7000,1.0000,0.0096
2.6000,1.0000,0.0076
2.5000,1.0000,0.0147
2.4000,1.0000,0.0104
2.3000,1.0000,0.0118
2.2000,1.0000,0.0124
2.1000,1.0000,0.0101
2.0000,1.0000,0.0076
1.9000,1.0000,0.0069
1.8000,1.0000,0.0092
1.7000,1.0000,0.0089
1.6000,1.0000,0.0101
1.5000,1.0000,0.0158
1.4000,1.0000,0.0197
1.3000,1.0000,0.0332
1.2000,1.0000,0.0346
1.1000,1.0000,0.1975
1.0000,1.0000,0.6382
0.9000,1.0000,0.8181
0.8000,1.0000,0.9560
0.7000,1.0000,0.9998
0.6000,1.0000,1.0000
3.0000,1.1000,0.0086
2.9000,1.1000,0.0119
2.8000,1.1000,0.0068
2.7000,1.1000,0.0069
2.6000,1.1000,0.0082
2.5000,1.1000,0.0077
2.4000,1.1000,0.0117
2.3000,1.1000,0.0077
2.2000,1.1000,0.0098
2.1000,1.1000,0.0080
2.0000,1.1000,0.0093
1.9000,1.1000,0.0112
1.8000,1.1000,0.0085
1.7000,1.1000,0.0108
1.6000,1.1000,0.0098
1.5000,1.1000,0.0161
1.4000,1.1000,0.0185
1.3000,1.1000,0.0226
1.2000,1.1000,0.0173
1.1000,1.1000,0.0153
1.0000,1.1000,0.0229
0.9000,1.1000,0.0170
0.8000,1.1000,0.0360
0.7000,1.1000,0.5394
0.6000,1.1000,0.8631
3.0000,1.2000,0.0083
2.9000,1.2000,0.0086
2.8000,1.2000,0.0072
2.7000,1.2000,0.0053
2.6000,1.2000,0.0081
2.5000,1.2000,0.0080
2.4000,1.2000,0.0081
2.3000,1.2000,0.0084
2.2000,1.2000,0.0069
2.1000,1.2000,0.0084
2.0000,1.2000,0.0093
1.9000,1.2000,0.0081
1.8000,1.2000,0.0056
1.7000,1.2000,0.0106
1.6000,1.2000,0.0141
1.5000,1.2000,0.0119
1.4000,1.2000,0.0174
1.3000,1.2000,0.0211
1.2000,1.2000,0.0151
1.1000,1.2000,0.0196
1.0000,1.2000,0.0133
0.9000,1.2000,0.0205
0.8000,1.2000,0.0305
0.7000,1.2000,0.2298
0.6000,1.2000,0.8471
3.0000,1.3000,0.0070
2.9000,1.3000,0.0092
2.8000,1.3000,0.0070
2.7000,1.3000,0.0081
2.6000,1.3000,0.0073
2.5000,1.3000,0.0102
2.4000,1.3000,0.0064
2.3000,1.3000,0.0080
2.2000,1.3000,0.0083
2.1000,1.3000,0.0084
2.0000,1.3000,0.0096
1.9000,1.3000,0.0076
1.8000,1.3000,0.0093
1.7000,1.3000,0.0083
1.6000,1.3000,0.0122
1.5000,1.3000,0.0137
1.4000,1.3000,0.0155
1.3000,1.3000,0.0115
1.2000,1.3000,0.0154
1.1000,1.3000,0.0108
1.0000,1.3000,0.0128
0.9000,1.3000,0.0230
0.8000,1.3000,0.0392
0.7000,1.3000,0.1388
0.6000,1.3000,0.7009
3.0000,1.4000,0.0081
2.9000,1.4000,0.0063
2.8000,1.4000,0.0084
2.7000,1.4000,0.0074
2.6000,1.4000,0.0060
2.5000,1.4000,0.0064
2.4000,1.4000,0.0073
2.3000,1.4000,0.0097
2.2000,1.4000,0.0081
2.1000,1.4000,0.0069
2.0000,1.4000,0.0083
1.9000,1.4000,0.0091
1.8000,1.4000,0.0079
1.7000,1.4000,0.0062
1.6000,1.4000,0.0089
1.5000,1.4000,0.0113
1.4000,1.4000,0.0189
1.3000,1.4000,0.0105
1.2000,1.4000,0.0136
1.1000,1.4000,0.0099
1.0000,1.4000,0.0149
0.9000,1.4000,0.0196
0.8000,1.4000,0.0310
0.7000,1.4000,0.1601
0.6000,1.4000,0.5498
3.0000,1.5000,0.0063
2.9000,1.5000,0.0060
2.8000,1.5000,0.0058
2.7000,1.5000,0.0075
2.6000,1.5000,0.0101
2.5000,1.5000,0.0049
2.4000,1.5000,0.0084
2.3000,1.5000,0.0066
2.2000,1.5000,0.0061
2.1000,1.5000,0.0070
2.0000,1.5000,0.0070
1.9000,1.5000,0.0073
1.8000,1.5000,0.0096
1.7000,1.5000,0.0093
1.6000,1.5000,0.0091
1.5000,1.5000,0.0110
1.4000,1.5000,0.0124
1.3000,1.5000,0.0119
1.2000,1.5000,0.0094
1.1000,1.5000,0.0117
1.0000,1.5000,0.0137
0.9000,1.5000,0.0206
0.8000,1.5000,0.0362
0.7000,1.5000,0.0721
0.6000,1.5000,0.5293
3.0000,1.6000,0.0048
2.9000,1.6000,0.0064
2.8000,1.6000,0.0074
2.7000,1.6000,0.0058
2.6000,1.6000,0.0079
2.5000,1.6000,0.0086
2.4000,1.6000,0.0087
2.3000,1.6000,0.0047
2.2000,1.6000,0.0108
2.1000,1.6000,0.0073
2.0000,1.6000,0.0079
1.9000,1.6000,0.0069
1.8000,1.6000,0.0069
1.7000,1.6000,0.0090
1.6000,1.6000,0.0063
1.5000,1.6000,0.0107
1.4000,1.6000,0.0084
1.3000,1.6000,0.0057
1.2000,1.6000,0.0106
1.1000,1.6000,0.0082
