Temperature,H0,Q_OrderParameter
3.0000,0.1000,0.0094
2.9000,0.1000,0.0117
2.8000,0.1000,0.0087
2.7000,0.1000,0.0108
2.6000,0.1000,0.0156
2.5000,0.1000,0.0131
2.4000,0.1000,0.0144
2.3000,0.1000,0.0161
2.2000,0.1000,0.0168
2.1000,0.1000,0.0146
2.0000,0.1000,0.0240
1.9000,0.1000,0.0205
1.8000,0.1000,0.0290
1.7000,0.1000,0.0414
1.6000,0.1000,0.0733
1.5000,0.1000,0.1810
1.4000,0.1000,0.3206
1.3000,0.1000,0.7144
1.2000,0.1000,0.8357
1.1000,0.1000,0.8704
1.0000,0.1000,0.8821
0.9000,0.1000,0.8881
0.8000,0.1000,0.8915
0.7000,0.1000,0.8933
0.6000,0.1000,0.8943
3.0000,0.2000,0.0137
2.9000,0.2000,0.0109
2.8000,0.2000,0.0118
2.7000,0.2000,0.0106
2.6000,0.2000,0.0139
2.5000,0.2000,0.0104
2.4000,0.2000,0.0130
2.3000,0.2000,0.0148
2.2000,0.2000,0.0164
2.1000,0.2000,0.0219
2.0000,0.2000,0.0214
1.9000,0.2000,0.0311
1.8000,0.2000,0.0328
1.7000,0.2000,0.0515
1.6000,0.2000,0.0601
1.5000,0.2000,0.1324
1.4000,0.2000,0.3975
1.3000,0.2000,0.7106
1.2000,0.2000,0.8176
1.1000,0.2000,0.8651
1.0000,0.2000,0.8826
0.9000,0.2000,0.8877
0.8000,0.2000,0.8914
0.7000,0.2000,0.8934
0.6000,0.2000,0.8943
3.0000,0.3000,0.0130
2.9000,0.3000,0.0096
2.8000,0.3000,0.0142
2.7000,0.3000,0.0147
2.6000,0.3000,0.0139
2.5000,0.3000,0.0163
2.4000,0.3000,0.0160
2.3000,0.3000,0.0177
2.2000,0.3000,0.0167
2.1000,0.3000,0.0113
2.0000,0.3000,0.0165
1.9000,0.3000,0.0214
1.8000,0.3000,0.0247
1.7000,0.3000,0.0320
1.6000,0.3000,0.0667
1.5000,0.3000,0.1537
1.4000,0.3000,0.3295
1.3000,0.3000,0.7167
1.2000,0.3000,0.8222
1.1000,0.3000,0.8686
1.0000,0.3000,0.8813
0.9000,0.3000,0.8879
0.8000,0.3000,0.8914
0.7000,0.3000,0.8934
0.6000,0.3000,0.8943
3.0000,0.4000,0.0083
2.9000,0.4000,0.0108
2.8000,0.4000,0.0112
2.7000,0.4000,0.0109
2.6000,0.4000,0.0118
2.5000,0.4000,0.0134
2.4000,0.4000,0.0195
2.3000,0.4000,0.0125
2.2000,0.4000,0.0147
2.1000,0.4000,0.0154
2.0000,0.4000,0.0277
1.9000,0.4000,0.0259
1.8000,0.4000,0.0326
1.7000,0.4000,0.0380
1.6000,0.4000,0.0596
1.5000,0.4000,0.1837
1.4000,0.4000,0.3497
1.3000,0.4000,0.7256
1.2000,0.4000,0.8226
1.1000,0.4000,0.8673
1.0000,0.4000,0.8807
0.9000,0.4000,0.8879
0.8000,0.4000,0.8913
0.7000,0.4000,0.8933
0.6000,0.4000,0.8943
3.0000,0.5000,0.0080
2.9000,0.5000,0.0141
2.8000,0.5000,0.0120
2.7000,0.5000,0.0110
2.6000,0.5000,0.0147
2.5000,0.5000,0.0130
2.4000,0.5000,0.0121
2.3000,0.5000,0.0192
2.2000,0.5000,0.0164
2.1000,0.5000,0.0195
2.0000,0.5000,0.0203
1.9000,0.5000,0.0194
1.8000,0.5000,0.0271
1.7000,0.5000,0.0526
1.6000,0.5000,0.0602
1.5000,0.5000,0.1545
1.4000,0.5000,0.3315
1.3000,0.5000,0.7072
1.2000,0.5000,0.8191
1.1000,0.5000,0.8651
1.0000,0.5000,0.8813
0.9000,0.5000,0.8883
0.8000,0.5000,0.8916
0.7000,0.5000,0.8933
0.6000,0.5000,0.8943
3.0000,0.6000,0.0085
2.9000,0.6000,0.0076
2.8000,0.6000,0.0098
2.7000,0.6000,0.0100
2.6000,0.6000,0.0085
2.5000,0.6000,0.0123
2.4000,0.6000,0.0141
2.3000,0.6000,0.0107
2.2000,0.6000,0.0118
2.1000,0.6000,0.0193
2.0000,0.6000,0.0205
1.9000,0.6000,0.0198
1.8000,0.6000,0.0193
1.7000,0.6000,0.0174
1.6000,0.6000,0.0184
1.5000,0.6000,0.0187
1.4000,0.6000,0.0115
1.3000,0.6000,0.0135
1.2000,0.6000,0.0107
1.1000,0.6000,0.0118
1.0000,0.6000,0.0133
0.9000,0.6000,0.0184
0.8000,0.6000,0.0669
0.7000,0.6000,0.2272
0.6000,0.6000,0.7292
3.0000,0.7000,0.0072
2.9000,0.7000,0.0095
2.8000,0.7000,0.0095
2.7000,0.7000,0.0080
2.6000,0.7000,0.0087
2.5000,0.7000,0.0123
2.4000,0.7000,0.0093
2.3000,0.7000,0.0122
2.2000,0.7000,0.0141
2.1000,0.7000,0.0169
2.0000,0.7000,0.0145
1.9000,0.7000,0.0097
1.8000,0.7000,0.0166
1.7000,0.7000,0.0149
1.6000,0.7000,0.0123
1.5000,0.7000,0.0132
1.4000,0.7000,0.0071
1.3000,0.7000,0.0082
1.2000,0.7000,0.0085
1.1000,0.7000,0.0170
1.0000,0.7000,0.0154
