Temperature,H0,Q_OrderParameter
3.0000,0.1000,0.0121
2.9000,0.1000,0.0121
2.8000,0.1000,0.0145
2.7000,0.1000,0.0128
2.6000,0.1000,0.0153
2.5000,0.1000,0.0174
2.4000,0.1000,0.0148
2.3000,0.1000,0.0233
2.2000,0.1000,0.0189
2.1000,0.1000,0.0167
2.0000,0.1000,0.0314
1.9000,0.1000,0.0275
1.8000,0.1000,0.0434
1.7000,0.1000,0.0705
1.6000,0.1000,0.1013
1.5000,0.1000,0.3312
1.4000,0.1000,0.5627
1.3000,0.1000,0.7944
1.2000,0.1000,0.8619
1.1000,0.1000,0.8799
1.0000,0.1000,0.8887
0.9000,0.1000,0.8964
0.8000,0.1000,0.8994
0.7000,0.1000,0.9011
0.6000,0.1000,0.9021
3.0000,0.2000,0.0129
2.9000,0.2000,0.0096
2.8000,0.2000,0.0114
2.7000,0.2000,0.0113
2.6000,0.2000,0.0154
2.5000,0.2000,0.0229
2.4000,0.2000,0.0201
2.3000,0.2000,0.0182
2.2000,0.2000,0.0160
2.1000,0.2000,0.0206
2.0000,0.2000,0.0271
1.9000,0.2000,0.0303
1.8000,0.2000,0.0425
1.7000,0.2000,0.0545
1.6000,0.2000,0.0949
1.5000,0.2000,0.3725
1.4000,0.2000,0.5945
1.3000,0.2000,0.8006
1.2000,0.2000,0.8624
1.1000,0.2000,0.8768
1.0000,0.2000,0.8888
0.9000,0.2000,0.8965
0.8000,0.2000,0.8994
0.7000,0.2000,0.9010
0.6000,0.2000,0.9021
3.0000,0.3000,0.0112
2.9000,0.3000,0.0127
2.8000,0.3000,0.0133
2.7000,0.3000,0.0128
2.6000,0.3000,0.0132
2.5000,0.3000,0.0154
2.4000,0.3000,0.0161
2.3000,0.3000,0.0148
2.2000,0.3000,0.0175
2.1000,0.3000,0.0242
2.0000,0.3000,0.0269
1.9000,0.3000,0.0220
1.8000,0.3000,0.0365
1.7000,0.3000,0.0676
1.6000,0.3000,0.1011
1.5000,0.3000,0.2347
1.4000,0.3000,0.6036
1.3000,0.3000,0.7966
1.2000,0.3000,0.8403
1.1000,0.3000,0.8791
1.0000,0.3000,0.8896
0.9000,0.3000,0.8965
0.8000,0.3000,0.8992
0.7000,0.3000,0.9007
0.6000,0.3000,0.9021
3.0000,0.4000,0.0165
2.9000,0.4000,0.0157
2.8000,0.4000,0.0132
2.7000,0.4000,0.0109
2.6000,0.4000,0.0111
2.5000,0.4000,0.0172
2.4000,0.4000,0.0139
2.3000,0.4000,0.0164
2.2000,0.4000,0.0157
2.1000,0.4000,0.0181
2.0000,0.4000,0.0160
1.9000,0.4000,0.0285
1.8000,0.4000,0.0307
1.7000,0.4000,0.0616
1.6000,0.4000,0.1231
1.5000,0.4000,0.2890
1.4000,0.4000,0.6043
1.3000,0.4000,0.7929
1.2000,0.4000,0.8439
1.1000,0.4000,0.8771
1.0000,0.4000,0.8902
0.9000,0.4000,0.8958
0.8000,0.4000,0.8992
0.7000,0.4000,0.9011
0.6000,0.4000,0.9021
3.0000,0.5000,0.0116
2.9000,0.5000,0.0103
2.8000,0.5000,0.0115
2.7000,0.5000,0.0150
2.6000,0.5000,0.0179
2.5000,0.5000,0.0099
2.4000,0.5000,0.0170
2.3000,0.5000,0.0229
2.2000,0.5000,0.0178
2.1000,0.5000,0.0197
2.0000,0.5000,0.0272
1.9000,0.5000,0.0229
1.8000,0.5000,0.0371
1.7000,0.5000,0.0647
1.6000,0.5000,0.1165
1.5000,0.5000,0.2825
1.4000,0.5000,0.5614
1.3000,0.5000,0.7783
1.2000,0.5000,0.8402
1.1000,0.5000,0.8752
1.0000,0.5000,0.8892
0.9000,0.5000,0.8959
0.8000,0.5000,0.8993
0.7000,0.5000,0.9010
0.6000,0.5000,0.9021
3.0000,0.6000,0.0074
2.9000,0.6000,0.0075
2.8000,0.6000,0.0100
2.7000,0.6000,0.0097
2.6000,0.6000,0.0123
2.5000,0.6000,0.0123
2.4000,0.6000,0.0105
